entry_idx,exit_idx,entry_ts,exit_ts,side,entry,stop,target,exit_price,exit_reason,gross_ret,net_ret,risk_pct,r_multiple
9789,9825,2024-02-19 05:45:00+00:00,2024-02-19 08:45:00+00:00,long,20.21205,20.195903142777894,20.244343714444216,20.195903142777894,stop,-0.0007988728121148814,-0.0009988728121148815,0.0007988728121149271,-1.2503527416587426
9830,9847,2024-02-19 09:10:00+00:00,2024-02-19 10:35:00+00:00,long,20.20475,20.189350913674858,20.235548172650287,20.189350913674858,stop,-0.0007621517873342976,-0.0009621517873342975,0.0007621517873343136,-1.2624149179484114
9859,9873,2024-02-19 11:35:00+00:00,2024-02-19 12:45:00+00:00,short,20.183865,20.1935626951277,20.164469609744604,20.164469609744604,target,0.0009609353934638687,0.0007609353934638687,0.000480467696731948,1.5837389215880089
9892,9897,2024-02-19 14:20:00+00:00,2024-02-19 14:45:00+00:00,long,20.173735,20.159998206223992,20.201208587552017,20.159998206223992,stop,-0.0006809246664540858,-0.0008809246664540858,0.0006809246664540912,-1.2937182460253267
10037,10096,2024-02-20 02:25:00+00:00,2024-02-20 07:20:00+00:00,long,20.183205,20.166281355340132,20.21705228931974,20.21705228931974,target,0.001677002701986119,0.0014770027019861188,0.0008385013509930084,1.7614792134508501
10107,10132,2024-02-20 08:15:00+00:00,2024-02-20 10:20:00+00:00,long,20.222965,20.208106439701265,20.252682120597466,20.252682120597466,target,0.001469473966723811,0.001269473966723811,0.00073473698336193,1.7277937462563753
10151,10170,2024-02-20 11:55:00+00:00,2024-02-20 13:30:00+00:00,long,20.269165,20.253967334461688,20.299560331076627,20.299560331076627,target,0.0014995847671388507,0.0012995847671388506,0.0007497923835694776,1.7332594914058213
10173,10183,2024-02-20 13:45:00+00:00,2024-02-20 14:35:00+00:00,long,20.3046,20.27381764027046,20.36616471945908,20.27381764027046,stop,-0.0015160288668349953,-0.0017160288668349954,0.0015160288668350477,-1.131923608608823
10196,10268,2024-02-20 15:40:00+00:00,2024-02-20 21:40:00+00:00,short,20.268700000000003,20.30320594336533,20.199688113269346,20.240685,time,0.0013821804062422727,0.0011821804062422726,0.0017024250872196196,0.6944096479913756
10351,10356,2024-02-21 04:35:00+00:00,2024-02-21 05:00:00+00:00,short,20.3054,20.314331049383473,20.28753790123305,20.314331049383473,stop,-0.00043983617084486504,-0.000639836170844865,0.0004398361708448874,-1.4547147592729357
10358,10364,2024-02-21 05:10:00+00:00,2024-02-21 05:40:00+00:00,short,20.3023,20.31619333858465,20.274513322830696,20.31619333858465,stop,-0.0006843233813238481,-0.000884323381323848,0.0006843233813238579,-1.2922594845741213
10377,10382,2024-02-21 06:45:00+00:00,2024-02-21 07:10:00+00:00,short,20.294600000000003,20.306833862012844,20.27013227597432,20.306833862012844,stop,-0.0006028136554965258,-0.0008028136554965258,0.0006028136554966203,-1.331777485205375
10385,10453,2024-02-21 07:25:00+00:00,2024-02-21 13:05:00+00:00,short,20.2877,20.308406297455804,20.246287405088395,20.308406297455804,stop,-0.0010206330661337581,-0.0012206330661337582,0.0010206330661338037,-1.19595680900444
10456,10458,2024-02-21 13:20:00+00:00,2024-02-21 13:30:00+00:00,short,20.28705,20.299172959969646,20.26280408006071,20.299172959969646,stop,-0.000597571355601012,-0.000797571355601012,0.0005975713556009796,-1.3346880615858898
10469,10487,2024-02-21 14:25:00+00:00,2024-02-21 15:55:00+00:00,short,20.288200000000003,20.305334138296917,20.253931723406176,20.253931723406176,target,0.0016890742694684047,0.0014890742694684046,0.0008445371347341756,1.7631838867262102
10543,10551,2024-02-21 20:35:00+00:00,2024-02-21 21:15:00+00:00,long,20.25935,20.240575541538323,20.296898916923357,20.240575541538323,stop,-0.0009267058647823845,-0.0011267058647823846,0.0009267058647823361,-1.2158182076803907
10556,10628,2024-02-21 21:40:00+00:00,2024-02-22 03:40:00+00:00,long,20.256685,20.238969122541153,20.292116754917696,20.267585,time,0.0005380939674977103,0.00033809396749771034,0.0008745694302324259,0.3865833350947048
10632,10637,2024-02-22 04:00:00+00:00,2024-02-22 04:25:00+00:00,short,20.2623,20.26922302362844,20.248453952743116,20.26922302362844,stop,-0.0003416701770500019,-0.0005416701770500019,0.0003416701770500823,-1.5853598348598146
10640,10681,2024-02-22 04:40:00+00:00,2024-02-22 08:05:00+00:00,long,20.28635,20.263148727773853,20.33275254445229,20.33275254445229,target,0.0022873776925020906,0.0020873776925020905,0.0011436888462510938,1.825127260372604
10686,10744,2024-02-22 08:30:00+00:00,2024-02-22 13:20:00+00:00,short,20.3206,20.349665533083467,20.262468933833063,20.262468933833063,target,0.002860696345921676,0.002660696345921676,0.0014303481729608454,1.8601739033607563
10875,10879,2024-02-23 00:15:00+00:00,2024-02-23 00:35:00+00:00,long,20.2567,20.24378307264831,20.282533854703377,20.24378307264831,stop,-0.0006376619761209179,-0.0008376619761209179,0.000637661976120956,-1.3136457969517987
10901,10940,2024-02-23 02:25:00+00:00,2024-02-23 05:40:00+00:00,short,20.2592,20.275462078506255,20.22667584298749,20.22667584298749,target,0.0016054018427436034,0.0014054018427436033,0.0008027009213717744,1.7508411957357706
10953,10984,2024-02-23 06:45:00+00:00,2024-02-23 09:20:00+00:00,long,20.2066,20.1805278956054,20.258744208789203,20.1805278956054,stop,-0.001290276661813472,-0.001490276661813472,0.0012902766618134972,-1.1550055153007786
10994,11015,2024-02-23 10:10:00+00:00,2024-02-23 11:55:00+00:00,long,20.1867,20.159925746407264,20.240248507185466,20.240248507185466,target,0.002652662752478996,0.0024526627524789958,0.0013263313762395042,1.8492081199072037
11032,11063,2024-02-23 13:20:00+00:00,2024-02-23 15:55:00+00:00,short,20.2645,20.290744424388524,20.212011151222956,20.290744424388524,stop,-0.0012950936064803908,-0.001495093606480391,0.0012950936064804314,-1.1544289909584635
11068,11140,2024-02-23 16:20:00+00:00,2024-02-25 23:20:00+00:00,long,20.34275,20.268003682810534,20.49224263437893,20.349535,time,0.0003335340600461034,0.0001335340600461034,0.003674346742179161,0.036342258741363515
11164,11236,2024-02-26 01:20:00+00:00,2024-02-26 07:20:00+00:00,long,20.32685,20.29811112304416,20.384327753911684,20.343085,time,0.0007986972895455136,0.0005986972895455136,0.0014138381970566947,0.4234553079471304
11238,11258,2024-02-26 07:30:00+00:00,2024-02-26 09:10:00+00:00,long,20.352555,20.33582913050741,20.386006738985177,20.33582913050741,stop,-0.000821806868601449,-0.0010218068686014491,0.0008218068686014676,-1.243366180544306
11260,11318,2024-02-26 09:20:00+00:00,2024-02-26 14:10:00+00:00,short,20.335735,20.359829957409392,20.287545085181215,20.287545085181215,target,0.002369715912347692,0.0021697159123476918,0.0011848579561738236,1.831203393800043
11322,11394,2024-02-26 14:30:00+00:00,2024-02-26 20:30:00+00:00,short,20.27395,20.34744478933893,20.12696042132214,20.3339,time,-0.002956996539894785,-0.003156996539894785,0.0036250848669810466,-0.8708752084066494
11401,11459,2024-02-26 21:05:00+00:00,2024-02-27 01:55:00+00:00,short,20.318765,20.33784388447208,20.28060723105584,20.33784388447208,stop,-0.0009389785487494695,-0.0011389785487494696,0.0009389785487493925,-1.2129974098486658
11463,11467,2024-02-27 02:15:00+00:00,2024-02-27 02:35:00+00:00,short,20.3319,20.339853167487348,20.315993665025307,20.339853167487348,stop,-0.0003911669586880162,-0.0005911669586880162,0.0003911669586879338,-1.511290624237893
11473,11514,2024-02-27 03:05:00+00:00,2024-02-27 06:30:00+00:00,short,20.324665000000003,20.34683286184288,20.280329276314248,20.34683286184288,stop,-0.0010906876862608605,-0.0012906876862608606,0.001090687686260883,-1.1833705480826056
11519,11524,2024-02-27 06:55:00+00:00,2024-02-27 07:20:00+00:00,short,20.335245,20.351277522387274,20.303179955225453,20.351277522387274,stop,-0.0007884105840512134,-0.0009884105840512135,0.0007884105840511845,-1.25367492876449
11526,11598,2024-02-27 07:30:00+00:00,2024-02-27 13:30:00+00:00,long,20.357,20.33223760519519,20.40652478960962,20.37415,time,0.0008424620523652671,0.0006424620523652671,0.0012164068774775324,0.5281637778712492
11600,11645,2024-02-27 13:40:00+00:00,2024-02-27 17:25:00+00:00,short,20.358935,20.38694445660906,20.302916086781874,20.302916086781874,target,0.002751564029165765,0.002551564029165765,0.0013757820145829098,1.8546281316845707
11650,11673,2024-02-27 17:50:00+00:00,2024-02-27 19:45:00+00:00,long,20.322615,20.297105398461877,20.373634203076243,20.297105398461877,stop,-0.0012552322394594473,-0.0014552322394594474,0.0012552322394594388,-1.159333064076497
11684,11744,2024-02-27 20:40:00+00:00,2024-02-28 01:40:00+00:00,long,20.301435,20.287848104874705,20.328608790250595,20.328608790250595,target,0.0013385157379561807,0.0011385157379561806,0.0006692578689780623,1.7011615238734514
11748,11756,2024-02-28 02:00:00+00:00,2024-02-28 02:40:00+00:00,short,20.3265,20.335931470137783,20.30763705972443,20.30763705972443,target,0.0009279974553203507,0.0007279974553203507,0.0004639987276601483,1.5689643319121376
11762,11766,2024-02-28 03:10:00+00:00,2024-02-28 03:30:00+00:00,short,20.3059,20.3166356717357,20.284428656528604,20.3166356717357,stop,-0.0005286971636666582,-0.0007286971636666582,0.0005286971636666466,-1.3782883895852085
11770,11797,2024-02-28 03:50:00+00:00,2024-02-28 06:05:00+00:00,short,20.31015,20.319757031779083,20.290935936441834,20.319757031779083,stop,-0.0004730162888546552,-0.0006730162888546552,0.0004730162888547493,-1.4228184172289724
11803,11830,2024-02-28 06:35:00+00:00,2024-02-28 08:50:00+00:00,short,20.305015,20.321864669420197,20.27131566115961,20.27131566115961,target,0.0016596559441296455,0.0014596559441296454,0.0008298279720648459,1.7589861893165926
11843,11852,2024-02-28 09:55:00+00:00,2024-02-28 10:40:00+00:00,short,20.2497,20.268855894356943,20.211388211286117,20.268855894356943,stop,-0.0009459841062802177,-0.0011459841062802178,0.0009459841062801855,-1.2114200412679823
11857,11884,2024-02-28 11:05:00+00:00,2024-02-28 13:20:00+00:00,long,20.27705,20.249629379875746,20.331891240248506,20.331891240248506,target,0.0027045965881875578,0.0025045965881875577,0.0013522982940937416,1.8521036351775764
11909,11952,2024-02-28 15:25:00+00:00,2024-02-28 19:00:00+00:00,long,20.331885,20.309583278187517,20.376488443624964,20.309583278187517,stop,-0.0010968841212943836,-0.0012968841212943837,0.0010968841212943294,-1.1823346650161355
12031,12103,2024-02-29 01:35:00+00:00,2024-02-29 07:35:00+00:00,long,20.3581,20.342483271738747,20.389333456522508,20.3756,time,0.0008596087061167879,0.0006596087061167879,0.0007671014613963778,0.8598715273677238
12106,12109,2024-02-29 07:50:00+00:00,2024-02-29 08:05:00+00:00,long,20.37095,20.35910403984161,20.39464192031678,20.35910403984161,stop,-0.0005815124065587929,-0.0007815124065587929,0.0005815124065588176,-1.3439307509182357
12123,12139,2024-02-29 09:15:00+00:00,2024-02-29 10:35:00+00:00,short,20.35585,20.37457926195838,20.31839147608324,20.31839147608324,target,0.0018401847093961754,0.0016401847093961753,0.0009200923546980725,1.7826305144680503
12150,12153,2024-02-29 11:30:00+00:00,2024-02-29 11:45:00+00:00,short,20.3075,20.316517786207168,20.289464427585667,20.289464427585667,target,0.000888123718544076,0.000688123718544076,0.00044406185927204126,1.549612295283629
12160,12168,2024-02-29 12:20:00+00:00,2024-02-29 13:00:00+00:00,short,20.287485,20.313784405945853,20.234886188108295,20.313784405945853,stop,-0.0012963364333160587,-0.0014963364333160588,0.001296336433316046,-1.1542809364187423
12188,12190,2024-02-29 14:40:00+00:00,2024-02-29 14:50:00+00:00,long,20.4986,20.47485969082116,20.54608061835768,20.47485969082116,stop,-0.0011581429550721056,-0.0013581429550721057,0.001158142955072095,-1.1726902520551707
12199,12206,2024-02-29 15:35:00+00:00,2024-02-29 16:10:00+00:00,long,20.4933,20.46278742558171,20.554325148836586,20.46278742558171,stop,-0.0014889048820000417,-0.0016889048820000418,0.0014889048820000857,-1.1343269145554575
12222,12228,2024-02-29 17:30:00+00:00,2024-02-29 18:00:00+00:00,short,20.44015,20.462036484035806,20.396377031928385,20.462036484035806,stop,-0.0010707594629104644,-0.0012707594629104645,0.0010707594629103645,-1.1867833119771916
