ts,open,high,low,close,ret1,ret3,ret6,atr_rel,body_rel,vol_log1p,footprint_raw,footprint_z,fh,fl,cross_up,cross_dn,in_bull_fvg,in_bear_fvg,fvg_width,htf_ret1,htf_atr_rel,htf_vol_log1p,htf_sweep_long,htf_sweep_short,htf_in_bull_fvg,htf_in_bear_fvg,htf_fvg_width,htf_age_long,htf_age_short,htf_long_bias,htf_short_bias,long_setup,short_setup,long_ret,short_ret,long_hold_bars,short_hold_bars,y
2024-02-16 07:20:00+00:00,20.04455,20.048885,20.04325,20.048585,0.00018633215015317894,0.0004890516066717865,0.0005357361193940591,0.0002776861624851314,0.7247789542992928,0.07360355854033412,0.0096599999233149,0.8809987925979461,1,0,1,0,0,0,3.566336477128407e-05,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,76.0,4.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:25:00+00:00,20.048385,20.05265,20.047485,20.04975,5.81088391027329e-05,0.00032679412469072133,0.0005813924473876408,0.00027499525003150076,0.24757027390290479,0.10932962744646937,0.0075899997609667,0.5846969813170443,0,0,0,0,0,0,8.902854150309172e-05,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,77.0,5.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:30:00+00:00,20.04955,20.0559,20.0468,20.0539,0.00020698512450278983,0.00045148753919321827,0.000878405693665929,0.0002987835057391908,0.7259952733640451,0.05838210821537215,0.002699999968172,-0.007120147995842025,0,0,0,0,0,0,8.901011773279079e-05,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,78.0,6.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:35:00+00:00,20.0542,20.06565,20.05345,20.0647,0.0005385486114919402,0.0008037973752261784,0.0012932420802955757,0.0003398773936138586,1.539693758050238,0.18174638861214248,0.0525299990840721,3.5284153126093134,0,0,0,0,0,0,3.9871017259248757e-05,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,79.0,7.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:40:00+00:00,20.06495,20.06565,20.05925,20.05955,-0.0002566696736057139,0.0004887841494283229,0.000815738005907285,0.0003371760357381792,-0.7983914424741875,0.2532536541980723,0.0413099989964393,2.2121343915106584,0,1,0,0,0,0,0.00016700274931378593,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,80.0,8.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:45:00+00:00,20.06,20.0633,20.05875,20.06055,4.9851566959357996e-05,0.00033160632096507214,0.0007832435762802348,0.00032244644046813776,0.08502805924442391,0.05338909556627875,0.0074399998557055,0.04718862819709483,0,0,0,0,0,0,0.00016699442438005712,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,81.0,9.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:50:00+00:00,20.060165,20.0638,20.0558,20.0587,-9.222080152326839e-05,-0.0002990326294435297,0.0005045243841399483,0.0003326566136300882,-0.21955264796173773,0.07069142675429356,-0.0184699996461858,-1.5790827313687998,0,0,0,0,1,0,0.00016700982616008788,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,82.0,10.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 07:55:00+00:00,20.058100000000003,20.05915,20.0507,20.0524,-0.00031407818054030034,-0.0003564387037596761,0.00013217122408004656,0.00034457910210476195,-0.8249346796266105,0.04977063486099495,-0.0002700000040931,-0.42774349397880296,0,0,0,0,0,0,0.00016706229678229814,0.0007136405148191471,0.0011324486464266829,0.8241008700254463,0,1,0,0,0.00016032993556866726,83.0,11.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:00:00+00:00,20.0518,20.056600000000003,20.0485,20.0541,8.477788194927172e-05,-0.00032152657828432574,9.973122435003035e-06,0.0003524642303621901,0.3253940521955821,0.06168758473094835,0.0060899998352397,-0.009773885000458858,1,0,0,0,0,0,0.00016704813479524662,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,84.0,0.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:05:00+00:00,20.0543,20.0577,20.05065,20.055985,9.39957415193593e-05,-0.00013535273970910477,-0.0004343448942669692,0.00035230909206530805,0.23846906989086927,0.0978523988682724,0.0085599997546523,0.1220539317482185,0,0,0,0,1,0,0.000167032434457712,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,85.0,1.0,0,1,False,False,0.0,0.0,1,1,0
