ts,symbol,side,cash_flow,cash_balance
2024-05-15 13:40:00+00:00,GBPUSD,sell,1.2635844156183536,0.026480475325941555
2024-05-15 17:10:00+00:00,GBPUSD,buy,-1.268045,-1.2415645246740585
2024-05-15 23:10:00+00:00,GBPUSD,sell,1.2688549999999998,0.02729047532594131
2024-05-16 01:05:00+00:00,GBPUSD,sell,1.26886,1.2961504753259414
2024-05-16 07:05:00+00:00,GBPUSD,buy,-1.267755,0.028395475325941444
2024-05-16 07:15:00+00:00,GBPUSD,buy,-1.268275,-1.2398795246740586
2024-05-16 08:05:00+00:00,GBPUSD,sell,1.267548920689333,0.027669396015274295
2024-05-16 08:15:00+00:00,GBPUSD,sell,1.267335,1.2950043960152744
2024-05-16 12:55:00+00:00,GBPUSD,buy,-1.2652704323214126,0.02973396369386183
2024-05-16 13:00:00+00:00,GBPUSD,sell,1.265315,1.2950489636938618
2024-05-16 14:30:00+00:00,GBPUSD,buy,-1.26629387380826,0.028755089885601715
2024-05-16 14:45:00+00:00,GBPUSD,buy,-1.266445,-1.2376899101143983
2024-05-16 20:45:00+00:00,GBPUSD,sell,1.26695,0.029260089885601692
2024-05-17 00:05:00+00:00,GBPUSD,sell,1.266875,1.2961350898856017
2024-05-17 00:55:00+00:00,GBPUSD,buy,-1.266157682478673,0.029977407406928558
2024-05-17 01:00:00+00:00,GBPUSD,sell,1.266085,1.2960624074069285
2024-05-17 07:00:00+00:00,GBPUSD,buy,-1.266505,0.02955740740692847
2024-05-17 07:15:00+00:00,GBPUSD,buy,-1.26679,-1.2372325925930716
2024-05-17 07:55:00+00:00,GBPUSD,sell,1.2657655784924968,0.02853298589942521
2024-05-17 08:30:00+00:00,GBPUSD,sell,1.264555,1.2930879858994253
2024-05-17 12:45:00+00:00,GBPUSD,buy,-1.2659159326584564,0.02717205324096894
2024-05-17 12:55:00+00:00,GBPUSD,buy,-1.26597,-1.238797946759031
2024-05-17 13:55:00+00:00,GBPUSD,sell,1.2672401308782075,0.028442184119176428
2024-05-17 15:20:00+00:00,GBPUSD,buy,-1.27056,-1.2421178158808235
2024-05-17 15:35:00+00:00,GBPUSD,sell,1.2694267791161915,0.027308963235368022
2024-05-17 16:00:00+00:00,GBPUSD,buy,-1.270805,-1.243496036764632
2024-05-19 21:40:00+00:00,GBPUSD,sell,1.269265516145103,0.025769479380471028
2024-05-19 21:45:00+00:00,GBPUSD,buy,-1.26969,-1.243920520619529
2024-05-19 23:25:00+00:00,GBPUSD,sell,1.2705237372275568,0.02660321660802789
2024-05-20 01:00:00+00:00,GBPUSD,sell,1.27039,1.2969932166080278
2024-05-20 04:10:00+00:00,GBPUSD,buy,-1.2708902044069692,0.026103012201058595
2024-05-20 05:00:00+00:00,GBPUSD,sell,1.2706650000000002,1.2967680122010588
2024-05-20 06:00:00+00:00,GBPUSD,buy,-1.2709270048031214,0.025841007397937377
2024-05-20 06:05:00+00:00,GBPUSD,buy,-1.27077,-1.2449289926020626
2024-05-20 06:10:00+00:00,GBPUSD,sell,1.2705377791536818,0.025608786551619245
2024-05-20 07:10:00+00:00,GBPUSD,sell,1.2698550000000002,1.2954637865516194
2024-05-20 08:55:00+00:00,GBPUSD,buy,-1.2707096019980029,0.024754184553616554
2024-05-20 09:55:00+00:00,GBPUSD,buy,-1.2704149999999998,-1.2456608154463833
2024-05-20 10:30:00+00:00,GBPUSD,sell,1.2700110146189567,0.024350199172573417
2024-05-20 11:05:00+00:00,GBPUSD,sell,1.269925,1.2942751991725734
2024-05-20 13:40:00+00:00,GBPUSD,buy,-1.270559207224505,0.023715991948068282
2024-05-20 14:05:00+00:00,GBPUSD,buy,-1.270655,-1.2469390080519318
2024-05-20 20:05:00+00:00,GBPUSD,sell,1.270535,0.023595991948068162
2024-05-20 20:15:00+00:00,GBPUSD,sell,1.270485,1.2940809919480682
2024-05-20 21:00:00+00:00,GBPUSD,buy,-1.2708097903725954,0.0232712015754728
2024-05-20 21:55:00+00:00,GBPUSD,buy,-1.27076,-1.247488798424527
2024-05-21 01:55:00+00:00,GBPUSD,sell,1.2703882332850305,0.022899434860503387
2024-05-21 02:50:00+00:00,GBPUSD,buy,-1.2705,-1.2476005651394966
2024-05-21 06:20:00+00:00,GBPUSD,sell,1.2715892492375194,0.023988684098022794
2024-05-21 07:10:00+00:00,GBPUSD,buy,-1.271855,-1.2478663159019772
2024-05-21 08:10:00+00:00,GBPUSD,sell,1.2707993139473084,0.02293299804533122
2024-05-21 08:35:00+00:00,GBPUSD,sell,1.27055,1.2934829980453313
2024-05-21 08:55:00+00:00,GBPUSD,buy,-1.2712782416864905,0.022204756358840783
2024-05-21 09:00:00+00:00,GBPUSD,buy,-1.27136,-1.2491552436411593
2024-05-21 13:00:00+00:00,GBPUSD,sell,1.2703398849507794,0.021184641309620167
2024-05-21 14:05:00+00:00,GBPUSD,buy,-1.271845,-1.2506603586903797
2024-05-21 15:55:00+00:00,GBPUSD,sell,1.270807967976039,0.020147609285659174
2024-05-21 17:10:00+00:00,GBPUSD,sell,1.27039,1.290537609285659
2024-05-21 17:35:00+00:00,GBPUSD,buy,-1.2710048545778452,0.019532754707813904
2024-05-21 17:55:00+00:00,GBPUSD,buy,-1.271035,-1.251502245292186
2024-05-21 23:55:00+00:00,GBPUSD,sell,1.270995,0.019492754707814086
2024-05-22 00:25:00+00:00,GBPUSD,buy,-1.27144,-1.2519472452921858
2024-05-22 01:00:00+00:00,GBPUSD,sell,1.271098957919944,0.019151712627758277
2024-05-22 01:25:00+00:00,GBPUSD,sell,1.27117,1.2903217126277582
2024-05-22 01:45:00+00:00,GBPUSD,buy,-1.271654842921682,0.018666869706076117
2024-05-22 02:35:00+00:00,GBPUSD,sell,1.2718,1.2904668697060762
2024-05-22 04:45:00+00:00,GBPUSD,buy,-1.2709086201213011,0.019558249584775034
2024-05-22 05:30:00+00:00,GBPUSD,buy,-1.2714,-1.251841750415225
2024-05-22 06:00:00+00:00,GBPUSD,sell,1.272642792288008,0.020801041872782866
2024-05-22 06:45:00+00:00,GBPUSD,buy,-1.275995,-1.2551939581272171
2024-05-22 07:05:00+00:00,GBPUSD,sell,1.274050323027018,0.018856364899800804
2024-05-22 07:20:00+00:00,GBPUSD,sell,1.27364,1.292496364899801
2024-05-22 13:20:00+00:00,GBPUSD,buy,-1.27401,0.018486364899800822
2024-05-22 14:00:00+00:00,GBPUSD,sell,1.273845,1.2923313648998007
2024-05-22 14:55:00+00:00,GBPUSD,buy,-1.2723140437428373,0.02001732115696342
2024-05-22 15:30:00+00:00,GBPUSD,buy,-1.2729,-1.2528826788430365
2024-05-22 16:50:00+00:00,GBPUSD,sell,1.2746141473931425,0.021731468550105992
2024-05-22 17:05:00+00:00,GBPUSD,buy,-1.274975,-1.253243531449894
2024-05-22 17:30:00+00:00,GBPUSD,sell,1.2741237471907965,0.020880215740902486
2024-05-22 18:00:00+00:00,GBPUSD,sell,1.272685,1.2935652157409026
2024-05-23 00:00:00+00:00,GBPUSD,buy,-1.27206,0.021505215740902583
2024-05-23 00:05:00+00:00,GBPUSD,buy,-1.272155,-1.2506497842590973
2024-05-23 01:25:00+00:00,GBPUSD,sell,1.2718393344121666,0.021189550153069225
2024-05-23 01:40:00+00:00,GBPUSD,buy,-1.2724950000000002,-1.251305449846931
2024-05-23 02:15:00+00:00,GBPUSD,sell,1.2717560588865586,0.0204506090396277
2024-05-23 03:05:00+00:00,GBPUSD,buy,-1.272595,-1.2521443909603722
2024-05-23 05:55:00+00:00,GBPUSD,sell,1.27227719328185,0.02013280232147774
2024-05-23 06:15:00+00:00,GBPUSD,buy,-1.2727,-1.2525671976785222
2024-05-23 07:15:00+00:00,GBPUSD,sell,1.2719296675527214,0.019362469874199206
2024-05-23 07:20:00+00:00,GBPUSD,sell,1.272155,1.2915174698741991
2024-05-23 07:30:00+00:00,GBPUSD,buy,-1.2727513821019505,0.01876608777224864
2024-05-23 08:05:00+00:00,GBPUSD,buy,-1.273315,-1.2545489122277513
2024-05-23 08:55:00+00:00,GBPUSD,sell,1.2721481321760668,0.01759921994831548
2024-05-23 09:40:00+00:00,GBPUSD,buy,-1.27162,-1.2540207800516845
2024-05-23 11:55:00+00:00,GBPUSD,sell,1.2739734733409298,0.019952693289245316
2024-05-23 12:35:00+00:00,GBPUSD,sell,1.273295,1.2932476932892454
2024-05-23 13:20:00+00:00,GBPUSD,buy,-1.2740674597790005,0.019180233510244893
2024-05-23 13:45:00+00:00,GBPUSD,sell,1.271455,1.290635233510245
2024-05-23 19:45:00+00:00,GBPUSD,buy,-1.26921,0.021425233510244945
2024-05-24 00:45:00+00:00,GBPUSD,buy,-1.2694450000000002,-1.2480197664897552
2024-05-24 01:10:00+00:00,GBPUSD,sell,1.2690764806026935,0.021056714112938302
2024-05-24 01:35:00+00:00,GBPUSD,buy,-1.26973,-1.2486732858870617
2024-05-24 02:10:00+00:00,GBPUSD,sell,1.269249797821974,0.020576511934912167
2024-05-24 02:40:00+00:00,GBPUSD,sell,1.269015,1.2895915119349122
